cafe_id,상호명,데이터출처,개업일,폐업일,종료일,event,duration_days,duration_months,duration_years,생존구간,업태,영업상태,자치구,주소,좌표X,좌표Y,면적_sqm,규모구분,종사자수,창업연도,창업월,창업분기,폐업연도,코로나시기창업,현재_카페수_경쟁밀도,경쟁강도,임대료_천원per㎡,임대료구간,임대부담지수
3220000-101-2015-00206,크림바바 대치점,일반음식점,2015-03-16,2016-09-27,2016-09-27,1,561,18.4,1.54,1~3년 폐업,까페,폐업,강남구,서울특별시 강남구 대치동 988-13,205315.405390935,444139.249192036,190.11,대형(132㎡이상),0.0,2015,3,Q1,2016.0,N,2093.0,초과밀(1500+),66.5,중임대(50~80),12642.3
3050000-101-2014-00025,오소(OSO),일반음식점,2014-02-14,2018-01-05,2018-01-05,1,1421,46.7,3.89,3~5년 폐업,까페,폐업,동대문구,서울특별시 동대문구 청량리동 38-18 1층,204369.44277075,453761.308443673,13.22,소형(33㎡미만),0.0,2014,2,Q1,2018.0,N,683.0,보통(400~800),43.7,저임대(~50),577.7
3220000-101-2014-00434,커피씨,일반음식점,2014-05-15,2015-06-22,2015-06-22,1,403,13.2,1.1,1~3년 폐업,까페,폐업,강남구,서울특별시 강남구 개포동 1219-0 지상1층 101호,204240.670247485,441659.24986844,39.6,중형(33~66㎡),0.0,2014,5,Q2,2015.0,N,2093.0,초과밀(1500+),66.5,중임대(50~80),2633.4
3230000-101-2005-00609,조은,일반음식점,2005-11-14,2017-02-22,2017-02-22,1,4118,135.3,11.27,5년 이상 후 폐업,까페,폐업,송파구,서울특별시 송파구 가락동 96-16 지하1층,210339.698670624,443572.862876476,48.5,중형(33~66㎡),0.0,2005,11,Q4,2017.0,N,1279.0,과밀(800~1500),33.8,저임대(~50),1639.3
3070000-101-2010-00227,비트윈,일반음식점,2010-08-23,2011-06-23,2011-06-23,1,304,10.0,0.83,1년 미만 폐업,까페,폐업,성북구,서울특별시 성북구 안암동1가 317-1,201920.762487958,454067.873051175,36.89,중형(33~66㎡),0.0,2010,8,Q3,2011.0,N,784.0,보통(400~800),58.2,중임대(50~80),2147.0
3000000-101-2014-00385,카페 통인,일반음식점,2014-11-10,2021-05-21,2021-05-21,1,2384,78.3,6.53,5년 이상 후 폐업,까페,폐업,종로구,서울특별시 종로구 통인동 132 1층,197300.797277857,453033.707854529,108.93,중대형(66~132㎡),0.0,2014,11,Q4,2021.0,N,1218.0,과밀(800~1500),72.5,중임대(50~80),7897.4
3130000-101-2008-00459,망고식스,일반음식점,2008-09-25,2015-10-02,2015-10-02,1,2563,84.2,7.02,5년 이상 후 폐업,까페,폐업,마포구,서울특별시 마포구 서교동 358-48,193036.480252311,450024.641399429,62.32,중형(33~66㎡),0.0,2008,9,Q3,2015.0,N,1734.0,초과밀(1500+),53.7,중임대(50~80),3346.6
3130000-101-2008-00587,원더랜드,일반음식점,2008-12-11,2013-07-31,2013-07-31,1,1693,55.6,4.64,3~5년 폐업,까페,폐업,마포구,서울특별시 마포구 서교동 347-14 2층,193340.696605464,450339.451837826,107.71,중대형(66~132㎡),0.0,2008,12,Q4,2013.0,N,1734.0,초과밀(1500+),53.7,중임대(50~80),5784.0
3000000-101-2013-00148,고디바 삼청점,일반음식점,2013-06-13,2025-03-25,2025-03-25,1,4303,141.4,11.78,5년 이상 후 폐업,까페,폐업,종로구,서울특별시 종로구 삼청동 46,198357.262968854,453676.113013753,209.01,대형(132㎡이상),0.0,2013,6,Q2,2025.0,N,1218.0,과밀(800~1500),72.5,중임대(50~80),15153.2
3000000-101-2014-00235,카페 퐁당,일반음식점,2014-07-07,2015-02-25,2015-02-25,1,233,7.7,0.64,1년 미만 폐업,까페,폐업,종로구,서울특별시 종로구 신교동 58-1 지상1층,197288.633145983,453473.855293794,114.82,중대형(66~132㎡),0.0,2014,7,Q3,2015.0,N,1218.0,과밀(800~1500),72.5,중임대(50~80),8324.4
