"A 동별(1)","13999001 항목",Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202504 2025 4/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4,Q202601 2026 1/4
"A 동별(1)","13999001 항목",001 합계,002 0~4세,003 5~9세,004 10~14세,005 15~19세,006 20~24세,007 25~29세,008 30~34세,009 35~39세,010 40~44세,011 45~49세,012 50~54세,013 55~59세,014 60~64세,015 65~69세,016 70~74세,017 75~79세,018 80~84세,019 85~89세,020 90~94세,021 95~99세,022 100세 이상,001 합계,002 0~4세,003 5~9세,004 10~14세,005 15~19세,006 20~24세,007 25~29세,008 30~34세,009 35~39세,010 40~44세,011 45~49세,012 50~54세,013 55~59세,014 60~64세,015 65~69세,016 70~74세,017 75~79세,018 80~84세,019 85~89세,020 90~94세,021 95~99세,022 100세 이상
"001 합계","T001 계",9579177,206861,263682,351584,386226,548450,806484,838104,674769,702753,698579,763738,741134,684062,655487,478390,353170,240530,128121,45150,10445,1458,9579449,207537,257942,349849,384368,543735,801866,838261,677638,696130,700713,753746,746833,678466,663016,491378,356865,240684,131203,47034,10672,1513
"001 합계","T002 한국인",9299548,202627,258035,346816,371055,492144,762741,812000,650944,682655,681985,746357,721357,670730,648113,475221,352044,240084,127827,45015,10385,1413,9304400,204168,252564,344816,375716,488459,755826,811043,654446,675375,684176,737980,728002,663248,655526,487544,355508,240160,130908,46868,10608,1459
"001 합계","T003 등록외국인",279629,4234,5647,4768,15171,56306,43743,26104,23825,20098,16594,17381,19777,13332,7374,3169,1126,446,294,135,60,45,275049,3369,5378,5033,8652,55276,46040,27218,23192,20755,16537,15766,18831,15218,7490,3834,1357,524,295,166,64,54
"002 종로구","T001 계",148813,2412,3130,4410,5776,11569,14572,12419,9210,9811,9706,11500,12082,11258,10138,7188,5475,4316,2588,989,230,34,148288,2343,3072,4320,5562,11270,14664,12416,9328,9610,9731,11295,12228,11102,10294,7398,5481,4236,2645,1017,241,35
"002 종로구","T002 한국인",137048,2204,2886,4186,5007,7997,12209,11449,8420,9110,9135,11049,11706,11026,9975,7126,5437,4300,2580,983,229,34,136817,2192,2825,4089,5127,7985,12077,11363,8559,8884,9157,10829,11849,10836,10142,7323,5439,4219,2638,1010,239,35
"002 종로구","T003 등록외국인",11765,208,244,224,769,3572,2363,970,790,701,571,451,376,232,163,62,38,16,8,6,1,-,11471,151,247,231,435,3285,2587,1053,769,726,574,466,379,266,152,75,42,17,7,7,2,-
"003 중구","T001 계",128444,2691,2765,2984,3689,7661,11782,12832,10373,9301,8261,9218,9836,9428,9107,6614,5000,3738,2127,804,209,24,128128,2602,2678,2964,3552,7550,11631,12858,10383,9304,8308,9056,9902,9344,9207,6816,5018,3703,2185,830,213,24
"003 중구","T002 한국인",117805,2507,2470,2723,3081,5704,10012,11828,9394,8515,7583,8575,9223,9033,8876,6494,4947,3707,2108,796,207,22,117762,2463,2389,2685,3196,5725,9864,11772,9447,8471,7633,8433,9313,8874,8973,6680,4952,3674,2163,822,211,22
"003 중구","T003 등록외국인",10639,184,295,261,608,1957,1770,1004,979,786,678,643,613,395,231,120,53,31,19,8,2,2,10366,139,289,279,356,1825,1767,1086,936,833,675,623,589,470,234,136,66,29,22,8,2,2
