"동별(1)",동별(2),2017,2018,2019,2020,2021,2022,2023,2024
"동별(1)",동별(2),합계,합계,합계,합계,합계,합계,합계,합계
"동별(1)",동별(2),사업체수 (개),사업체수 (개),사업체수 (개),사업체수 (개),사업체수 (개),사업체수 (개),사업체수 (개),사업체수 (개)
"합계",종로구,40490,39952,39679,50531,48361,47595,46977,46830
"합계",중구,62936,60957,60127,76129,70308,68143,67202,67098
"합계",용산구,20806,20813,20254,31507,29680,28047,28363,27854
"합계",성동구,27278,27868,28343,41582,41665,41306,40674,39264
"합계",광진구,24688,24535,24445,35423,33706,33325,33384,33295
"합계",동대문구,32411,31878,31324,43029,42813,42491,42782,43129
"합계",중랑구,28045,28024,28228,38558,39310,40320,40964,42344
"합계",성북구,24039,23287,23617,34420,34712,35162,35548,35561
"합계",강북구,18928,18918,19014,26711,26385,26114,26310,25636
"합계",도봉구,18351,18894,18628,25607,25391,25193,25580,25298
"합계",노원구,26516,26616,26618,37442,37909,38018,38439,38579
"합계",은평구,24561,24873,24681,36273,36509,36430,36201,36093
"합계",서대문구,19852,19796,20095,28769,28522,28427,28401,28468
"합계",마포구,36325,37232,37290,58694,56782,55516,55741,56080
"합계",양천구,26077,26126,25894,37183,37929,37774,38114,37760
"합계",강서구,36556,38524,39458,58788,58806,59660,59969,60611
"합계",구로구,38405,38553,38756,53547,52791,52988,51955,51832
"합계",금천구,31750,32472,33814,47354,47964,48438,47935,48067
"합계",영등포구,43163,42589,42370,74060,74562,75470,74558,74118
"합계",동작구,19966,19916,19793,28505,27915,27120,27441,27532
"합계",관악구,26374,26105,25505,38639,37915,36814,37689,37657
"합계",서초구,46207,46540,46940,75858,71958,69975,70510,72068
"합계",강남구,72511,71373,71027,115054,110007,107804,104299,101160
"합계",송파구,46676,47772,48644,76412,74531,74738,74893,75957
"합계",강동구,29952,29772,29080,40978,41660,43157,43358,43775
