"자치구별(1)",2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"자치구별(1)",합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계
"종로구",6945816,8235791,7819352,9064694,7559194,7357337,8456526,2029664,2501433,5743390,8642137,9716736
"중구",5005838,3913159,3395406,3913660,4399008,4517220,5740994,2149342,2987028,6077185,5555866,6297317
"용산구",3051441,3530781,3080577,3396259,3476606,3304453,3354089,1738008,1273173,3398658,4179508,3865945
"성동구",-,-,-,-,-,-,-,-,-,-,-,-
"광진구",-,-,-,-,-,-,-,-,-,-,-,-
"동대문구",-,-,-,-,-,86688,86738,7186,25024,108222,109387,148079
"중랑구",-,-,-,-,-,-,-,-,-,-,-,-
"성북구",-,-,-,-,-,-,-,-,-,-,-,-
"강북구",-,-,-,-,-,-,-,-,-,-,-,-
"도봉구",-,-,-,-,-,-,-,-,-,-,-,-
"노원구",40171,68143,102883,95281,99223,92309,98354,92848,77589,78828,62648,79855
"은평구",-,-,-,-,-,-,-,-,-,-,-,-
"서대문구",918775,1027604,931858,991326,1026407,1034273,1289720,107866,182869,558905,643299,644625
"마포구",511722,668958,367129,383953,258504,263343,290752,35925,13622,-,-,-
"양천구",-,-,-,-,-,-,-,-,-,-,-,-
"강서구",-,-,-,-,-,-,-,-,-,-,-,-
"구로구",-,-,-,-,-,-,-,-,-,-,-,-
"금천구",-,-,-,-,-,-,-,-,-,-,-,-
"영등포구",-,-,-,-,-,-,-,-,-,-,-,-
"동작구",-,-,-,-,-,-,-,-,-,-,-,-
"관악구",-,-,-,-,-,-,-,-,-,-,-,-
"서초구",39611,43308,42657,37681,39234,35365,49303,44749,44941,-,-,44146
"강남구",334255,342331,342636,333718,364008,326910,382170,346056,413616,410807,413700,480308
"송파구",-,-,-,-,-,8465367,8423991,1924481,3696530,6768071,7706775,7647263
"강동구",-,-,-,-,-,-,-,-,-,-,-,-
