"기준_년분기_코드","자치구_코드","자치구_코드_명","총_직장_인구_수","남성_직장_인구_수","여성_직장_인구_수","연령대_10_직장_인구_수","연령대_20_직장_인구_수","연령대_30_직장_인구_수","연령대_40_직장_인구_수","연령대_50_직장_인구_수","연령대_60_이상_직장_인구_수","남성연령대_10_직장_인구_수","남성연령대_20_직장_인구_수","남성연령대_30_직장_인구_수","남성연령대_40_직장_인구_수","남성연령대_50_직장_인구_수","남성연령대_60_이상_직장_인구_수","여성연령대_10_직장_인구_수","여성연령대_20_직장_인구_수","여성연령대_30_직장_인구_수","여성연령대_40_직장_인구_수","여성연령대_50_직장_인구_수","여성연령대_60_이상_직장_인구_수"
"20261","11740","강동구","51554","30293","21261","0","6394","11106","12040","12175","9839","0","2934","6461","7132","7094","6672","0","3460","4645","4908","5081","3167"
"20261","11710","송파구","409883","256182","153701","455","59879","104946","109223","92010","43370","169","30317","65914","72692","57632","29458","286","29562","39032","36531","34378","13912"
"20261","11680","강남구","1079924","662335","417589","2069","214872","329426","275198","180204","78155","877","100201","204697","188865","116356","51339","1192","114671","124729","86333","63848","26816"
"20261","11650","서초구","434315","280685","153630","579","77630","122260","110191","90726","32929","260","36370","76769","75466","67808","24012","319","41260","45491","34725","22918","8917"
"20261","11620","관악구","41999","24067","17932","0","5925","10647","10425","9419","5583","0","2537","6024","6136","5384","3986","0","3388","4623","4289","4035","1597"
"20261","11590","동작구","45111","27110","18001","12","7059","11338","10748","9848","6106","6","3878","6998","6470","5859","3899","6","3181","4340","4278","3989","2207"
"20261","11560","영등포구","400232","275433","124799","581","70285","131895","105307","65868","26296","205","37127","92690","78957","48303","18151","376","33158","39205","26350","17565","8145"
"20261","11545","금천구","131583","85723","45860","305","23298","37390","31562","21640","17388","200","12427","24849","22044","13882","12321","105","10871","12541","9518","7758","5067"
"20261","11530","구로구","122194","77779","44415","196","20681","35508","30908","22067","12834","136","10570","23303","20357","13851","9562","60","10111","12205","10551","8216","3272"
"20261","11500","강서구","73335","43272","30063","0","9440","17130","18196","17774","10795","0","3900","9850","10812","11026","7684","0","5540","7280","7384","6748","3111"
"20261","11470","양천구","85678","51939","33739","95","13210","21514","21362","18641","10856","75","5743","12830","13257","11910","8124","20","7467","8684","8105","6731","2732"
"20261","11440","마포구","120344","69592","50752","13","23065","33103","29655","22007","12501","3","10291","19028","18350","13261","8659","10","12774","14075","11305","8746","3842"
"20261","11410","서대문구","35863","20845","15018","0","4147","7781","8857","10241","4837","0","1909","4655","5016","5910","3355","0","2238","3126","3841","4331","1482"
"20261","11380","은평구","31146","16417","14729","0","3217","6600","8085","7917","5327","0","1231","3415","4021","4061","3689","0","1986","3185","4064","3856","1638"
"20261","11350","노원구","28109","15085","13024","0","3196","5475","6902","7505","5031","0","1299","2932","3517","4104","3233","0","1897","2543","3385","3401","1798"
"20261","11320","도봉구","20112","11990","8122","0","1965","3933","5127","5513","3574","0","834","2275","2917","3215","2749","0","1131","1658","2210","2298","825"
"20261","11305","강북구","14740","8459","6281","0","828","2349","3652","4424","3487","0","193","1169","1978","2761","2358","0","635","1180","1674","1663","1129"
"20261","11290","성북구","68606","43212","25394","245","8330","16828","19629","17457","6117","99","3811","9433","11836","13407","4626","146","4519","7395","7793","4050","1491"
"20261","11260","중랑구","21334","13436","7898","0","2058","4454","5814","5950","3058","0","841","2533","3316","3945","2801","0","1217","1921","2498","2005","257"
"20261","11230","동대문구","50705","29015","21690","0","7574","11215","12070","11567","8279","0","3883","6782","6848","6133","5369","0","3691","4433","5222","5434","2910"
"20261","11215","광진구","56058","36147","19911","53","8541","11600","13908","15107","6849","5","4204","7325","9269","10190","5154","48","4337","4275","4639","4917","1695"
"20261","11200","성동구","73657","46216","27441","61","12038","17991","17855","15823","9889","47","5945","11298","11581","10127","7218","14","6093","6693","6274","5696","2671"
"20261","11170","용산구","176024","100620","75404","215","37562","53215","46007","29909","9116","55","13826","28882","29128","21894","6835","160","23736","24333","16879","8015","2281"
"20261","11140","중구","406487","224165","182322","1094","88336","128485","101450","64910","22212","314","34586","68234","63905","43117","14009","780","53750","60251","37545","21793","8203"
"20261","11110","종로구","223590","131787","91803","1828","39075","65997","63365","39373","13952","655","16913","36818","40315","27675","9411","1173","22162","29179","23050","11698","4541"
"20254","11740","강동구","51554","30293","21261","0","6394","11106","12040","12175","9839","0","2934","6461","7132","7094","6672","0","3460","4645","4908","5081","3167"
"20254","11710","송파구","409883","256182","153701","455","59879","104946","109223","92010","43370","169","30317","65914","72692","57632","29458","286","29562","39032","36531","34378","13912"
"20254","11680","강남구","1079924","662335","417589","2069","214872","329426","275198","180204","78155","877","100201","204697","188865","116356","51339","1192","114671","124729","86333","63848","26816"
