"셀id(ID)","x좌표(X_COORD)","y좌표(Y_COORD)","성별(AS_GNDR_CD)","연령대(AGE_GR_SCTN_CD)","주중보행인구수(WKDY_FLPOP_CNT)","주말보행인구수(WKND_FLPOP_CNT)","거주지코드(INFLOW_ADMIN_CD)","행정동코드(ADMI_CD)","기준년월(STD_YM)"
"4*7*0*1*",190269.210149623,543463.368624264,"1","4044",0.033,0.1032,"41113","11500604","201608"
"4*6*1*4*",189785.165818327,543564.951504074,"1","5054",0.0314,0.4184,"11620725","11560605","201607"
"4*5*2*7*",191096.728231737,544320.724670824,"1","4044",0.0424,0.0618,"11710680","11410520","201704"
"4*4*7*5*",189142.114690412,542927.733184873,"2","2024",0,0,"11740600","11590670","201610"
"4*7*7*7*",188876.753659265,543312.850722774,"2","4549",0,0.0266,"11620575","11710720","201611"
"4*7*7*2*",189326.71590014,543657.517511064,"2","2024",0.724,0.0734,"11560720","11530540","201609"
"4*3*9*0*",189883.566336502,544715.9173081,"1","4044",0.1074,0.3402,"11680690","11680700","201608"
"4*5*6*2*",189925.605237674,543117.110157579,"2","4044",0.015,0,"11530730","11170660","201602"
"4*7*9*6*",191095.137334947,545406.308694189,"1","2529",0.0133,0,"26200","11545630","201801"
"4*7*0*1*",191243.53447931,543955.370450421,"1","3539",0.0696,0.0202,"50130","11470520","201704"
"4*4*3*6*",189727.21319973,542631.469307717,"2","5559",0.0491,0,"11740690","11650560","201611"
"4*6*0*6*",189076.206325423,545069.602319853,"2","2529",0.0375,0.1083,"41463","11590660","201608"
"4*5*1*5*",189526.699259863,544152.701187302,"2","6569",0.7348,0,"46840","11440655","201711"
"4*3*6*1*",189625.629970271,543921.287755584,"1","3034",0.1508,0.1037,"44200","11650531","201801"
"4*6*9*5*",189580.408448822,544712.734171284,"2","5559",0.0486,0,"11470570","11350580","201706"
"4*6*2*8*",189184.154833681,542374.595663709,"2","3034",0.1842,0,"11350595","11440690","201710"
"4*8*5*7*",190142.56230119,543758.039496378,"2","3539",0.692,0,"11170625","11470590","201611"
"4*7*1*1*",188622.000158713,545524.340976053,"1","1014",0.0963,0.0826,"42210","11230650","201706"
"4*8*1*1*",189087.345630867,543815.991652381,"2","2024",0.0403,0,"11530550","11215780","201703"
"4*6*5*9*",190435.64311457,543072.417713563,"1","7074",8.0871,0,"11500560","11500590","201605"
"4*4*0*7*",189675.62583456,543974.466333858,"2","7074",0.1011,0,"11110650","11110700","201610"
"4*7*1*1*",190841.44501192,542826.680566591,"2","6064",1.2244,0,"11410690","11500641","201607"
"4*6*1*4*",189775.087070034,543111.806671904,"1","4549",0.156,0,"26710","11560690","201602"
"4*3*6*1*",191144.07273454,542778.275522398,"1","6064",0.0525,0.2525,"46820","11305606","201602"
"4*4*8*1*",190526.617365139,543019.770083918,"1","2529",0.0632,0,"11230730","11680655","201604"
"4*5*5*6*",190583.509327994,544621.230694502,"2","3539",2.9709,0.0222,"46230","11230705","201601"
"4*7*1*1*",190944.618983549,544221.263302538,"1","2529",0.019,0,"41287","11230750","201604"
"4*5*6*9*",190434.051877508,542880.919133341,"1","6064",0.1313,0.0255,"11560710","11305610","201706"
"4*6*6*0*",190840.91466434,543075.599779949,"2","3539",1.0735,0,"11590550","11290600","201611"
"4*3*2*3*",190485.639067322,544559.033119503,"1","2529",1.5255,0,"41360","11170640","201610"
"4*4*7*4*",191196.720287255,543571.846679436,"1","2529",1.6946,0.1618,"11380631","11110550","201705"
