"년월(STD_YM)","년월일(STD_YMD)","블록코드(BLOCK_CD)","X좌표(X_COORD)","Y좌표(Y_COORD)","유입지코드(INFLOW_CD)","시간대0시~1시미만(AVG_00TMST)","시간대1시~2시미만(AVG_01TMST)","시간대2시~3시미만(AVG_02TMST)","시간대3시~4시미만(AVG_03TMST)","시간대4시~5시미만(AVG_04TMST)","시간대5시~6시미만(AVG_05TMST)","시간대6시~7시미만(AVG_06TMST)","시간대7시~8시미만(AVG_07TMST)","시간대8시~9시미만(AVG_08TMST)","시간대9시~10시미만(AVG_09TMST)","시간대10시~11시미만(AVG_10TMST)","시간대11시~12시미만(AVG_11TMST)","시간대12시~13시미만(AVG_12TMST)","시간대13시~14시미만(AVG_13TMST)","시간대14시~15시미만(AVG_14TMST)","시간대15시~16시미만(AVG_15TMST)","시간대16시~17시미만(AVG_16TMST)","시간대17시~18시미만(AVG_17TMST)","시간대18시~19시미만(AVG_18TMST)","시간대19시~20시미만(AVG_19TMST)","시간대20시~21시미만(AVG_20TMST)","시간대21시~22시미만(AVG_21TMST)","시간대22시~23시미만(AVG_22TMST)","시간대23시~0시미만(AVG_23TMST)"
"201602","20160209","1*0*0*2*3*0*3*0*0*0*",956764.5,1956924,"47830",0,0,0,0.01,0,0,0,0.03,0,0,0,0.01,0.07,0.04,0.08,0,0.01,0.05,0,0,0.94,0.01,0,0
"201511","20151119","1*0*0*4*1*0*2*0*0*0*",960057.875,1955350,"11530",0,0,0.01,0,0.03,0,0,0,0.01,0,0.01,0.02,0.01,0,0.01,0,0,0,0,0,0,0.01,0,0
"201601","20160123","1*0*0*2*4*0*1*0*0*0*",957599.875,1956976,"47150",0,0,0.01,0,0,0,0,0,2.3,0.02,0.17,0.01,0,0.01,0.02,0.14,0,0.61,0,0,0,0.01,0.08,0
"201508","20150822","1*0*0*1*4*0*2*0*0*0*",956225.8125,1955201,"11260",0,0.01,0,0.01,0,0,0,0.04,0,0,0,0,0.01,0.01,0,0.02,0.06,0.05,0.04,0.01,0.19,0.02,0,0
"201606","20160630","1*0*0*4*2*0*2*0*0*0*",960068.8125,1957233,"26500",0,0,0,0,0,0,0.01,0,0,0,0,0.01,0.05,0.04,1.01,0,0,0,0.03,0.01,0,0,0,0.01
"201511","20151101","1*0*0*1*1*0*8*0*0*0*",956762.625,1957794,"27290",0,0.05,0,0.01,0,0,0.01,0.06,0.04,0.02,0,1.5,0,0.07,0,0.44,0.03,0,0.01,0.02,0.01,0.02,0,0
"201601","20160112","1*0*0*8*1*0*2*0*0*0*",956474.3125,1955515,"47770",0.02,0,0,0,0,0,0,0.01,0,0.51,0.02,0,0.01,0,0.01,0,0.01,0,0.14,0,0.49,0.04,0.02,0.01
"201605","20160522","1*0*0*6*1*0*1*0*0*0*",957205.1875,1955715,"47150",0,0,0,0,0,0.01,0,0,0,0,0,0,0.01,0.32,0,0.01,0.02,0.11,0.05,0,0.01,0.02,0.01,0
"201511","20151109","1*0*0*8*2*0*6*0*0*0*",957650.625,1957230,"43800",0,0,0,0,0,0,0.01,0,0,0,0.05,0.02,0,0,0.15,0.01,0.15,0,0,0.05,0.01,0,0,0.05
"201511","20151107","1*0*0*1*2*0*2*0*0*0*",957504.375,1956257,"45720",0,0,0,0,0.29,0,0,0,0.01,0,0.02,0.02,0.02,0,0.01,0.04,0,0.15,0.05,0.02,0.01,0,0,0
"201605","20160519","1*0*0*4*1*0*4*0*0*0*",957404.8125,1954220,"47760",0,0,0,0,0,0.01,0,0,0.01,0,0,0,0.02,0,0.01,0,0.02,0.01,0,0,0,0,0.02,0
