업종명,업소명,소재지(도로명),소재지(지번),업태명,
휴게음식점,(주)보나비아티제상암드림타워점,서울특별시 마포구 월드컵북로56길 19 (상암동  드림타워 101호일부),서울특별시 마포구 상암동 1595-1 ,커피숍,
휴게음식점,(주)스타벅스커피코리아 망원역점,서울특별시 마포구 월드컵로 74 (서교동 원천빌딩 1 2층),서울특별시 마포구 서교동 475-13 원천빌딩 1 2층 ,커피숍,
휴게음식점,(주)엘에스씨푸드 마포구청카페,서울특별시 마포구 월드컵로 212  마포구 종합행정타운(마포구청) 지하1층 (성산동),서울특별시 마포구 성산동 370 마포구청 ,커피숍,
휴게음식점,(주)영우 홍익대학교매점,서울특별시 마포구 와우산로 94 (상수동  홍익대학교 실험실습관2 지하1층 일부),서울특별시 마포구 상수동 72-1 ,커피숍,
휴게음식점,(주)영우홍익대학교카페나무,서울특별시 마포구 와우산로 94 (상수동  인문관C동8층),서울특별시 마포구 상수동 72-1 인문관C동8층 ,커피숍,
휴게음식점,(주)잠두봉더나인,서울특별시 마포구 마포나루길 582 (합정동  잠두봉선착장 1층),서울특별시 마포구 합정동 352-6 잠두봉선착장 1층 ,커피숍,
휴게음식점,(주)커피빈코리아 상수역점,서울특별시 마포구 와우산로10길 3  엘케이빌딩 지상1~3층 (상수동),서울특별시 마포구 상수동 143-31 엘케이빌딩 ,커피숍,
휴게음식점,(주)커피빈코리아상암SBS미디어센터점,서울특별시 마포구 상암산로 82 (상암동  1층 일부  2층 일부),서울특별시 마포구 상암동 1607-1 ,커피숍,
휴게음식점,(주)커피빈코리아홍대역8번출구점,서울특별시 마포구 양화로18안길 7 (동교동  2층),서울특별시 마포구 동교동 168-4 ,커피숍,
휴게음식점,(주)하우 신촌역점,서울특별시 마포구 신촌로 지하 90  신촌역 2호선 지하1층 240-108호 (노고산동),서울특별시 마포구 노고산동 31-11 신촌역 ,커피숍,
휴게음식점,(주)학산 테라로사커피 노을공원지점,서울특별시 마포구 하늘공원로 112  산악체험문화센터 1층 (상암동),서울특별시 마포구 상암동 481-231 산악체험문화센터 ,커피숍,
휴게음식점,(한)한스케익 공덕점,서울특별시 마포구 백범로 202 (신공덕동  마포케이씨씨웰츠타워제1층108호),서울특별시 마포구 신공덕동 171 마포케이씨씨웰츠타워 ,커피숍,
휴게음식점,120겹 파이 망원점,서울특별시 마포구 희우정로 129-10  지1층 106호 (망원동),서울특별시 마포구 망원동 454-11 ,커피숍,
휴게음식점,22펠로톤(22PELOTON),서울특별시 마포구 월드컵로3길 31-31  1층 (합정동),서울특별시 마포구 합정동 387-18 1층 ,커피숍,
휴게음식점,3POP,서울특별시 마포구 신촌로16길 34 (노고산동  지하1층 일부),서울특별시 마포구 노고산동 56-7 지하1층 일부 ,커피숍,
휴게음식점,79파운야드 망원본점,서울특별시 마포구 월드컵로13길 79 (망원동  해오름주상복합 제1층제105호),서울특별시 마포구 망원동 400-2 ,커피숍,
휴게음식점,99밀크티,서울특별시 마포구 와우산로29가길 79  1층 102호 (서교동),서울특별시 마포구 서교동 343-13 ,커피숍,
휴게음식점,99트레인(99TRAIN),서울특별시 마포구 월드컵북로4길 26  1층 102호 (동교동),서울특별시 마포구 동교동 201-41 ,커피숍,
휴게음식점,Jazzda카페,서울특별시 마포구 양화로6길 19 (서교동  지하1층),서울특별시 마포구 서교동 394-93 ,커피숍,
휴게음식점,X·D팩토리,서울특별시 마포구 홍익로 26  일부 3층 (동교동),서울특별시 마포구 동교동 163-20 3층일부 ,커피숍,
휴게음식점,가루앤가루,서울특별시 마포구 월드컵북로 402  케이지아이티센터 1층 107호 (상암동),서울특별시 마포구 상암동 1601 케이지아이티센터 ,커피숍,
휴게음식점,가배두림,서울특별시 마포구 월드컵로3길 54 (합정동  1층),서울특별시 마포구 합정동 391-24 ,커피숍,
휴게음식점,고디바,서울특별시 마포구 성암로 267 (상암동  MBC사옥 지상1층 일부),서울특별시 마포구 상암동 1603 MBC사옥 지상1층 일부 ,커피숍,
휴게음식점,고로  커피,서울특별시 마포구 성암로 28  1층 102호 (성산동  가좌행복주택),서울특별시 마포구 성산동 134-2 가좌행복주택 ,커피숍,
