"기준일ID","시군구코드","시군구명","총생활인구수","내국인생활인구수","장기체류외국인인구수","단기체류외국인인구수","일최대인구수","일최소인구수","주간인구수(09~18)","야간인구수(19~08)","일최대이동인구수","서울외유입인구수","동일자치구행정동간이동인구수","자치구간이동인구수"
"20260529","11000","서울시","10843214.00480","10312144.68730","361107.72240","169961.59520","11238714.57430","10476145.74700","11158314.88290","10618141.94900","6092537.45870","1583623.18810","1939842.50010","2569071.77050"
"20260529","11110","종로구","333575.62050","302132.61430","15597.77270","15845.23340","451056.42230","235785.47740","421390.65990","270850.59240","277448.39330","77359.37760","28248.11190","171840.90380"
"20260529","11140","중구","336393.37330","281017.58450","17286.96800","38088.82080","486793.21610","214818.70320","451706.39730","254026.92760","323092.04680","94596.68500","23777.08070","204718.28110"
"20260529","11170","용산구","298892.94220","275677.89570","14035.45360","9179.59290","338106.53960","253535.75480","327750.56490","278280.35460","195822.20610","59890.11020","37669.78190","98262.31400"
"20260529","11200","성동구","381538.80720","359576.95660","15022.49170","6939.35890","423129.01500","344569.70530","407878.32860","362724.86330","239672.67130","54486.98820","60144.36090","125041.32220"
"20260529","11215","광진구","381472.40850","358265.99080","20570.77750","2635.64010","398242.68420","364606.59930","370102.66310","389593.65520","182083.79140","38322.46160","72116.41900","71644.91080"
"20260529","11230","동대문구","385353.80710","360622.23150","22122.43950","2609.13610","399378.06120","370939.69380","376337.71770","391793.87100","187601.59710","33155.87640","75695.78910","78749.93160"
"20260529","11260","중랑구","323872.29440","317861.89900","5516.73640","493.65900","361620.73980","281878.82800","291425.12930","347048.84090","129348.65670","22915.89860","71866.92620","34565.83190"
"20260529","11290","성북구","424110.66620","407602.95010","14798.17790","1709.53820","461736.45120","387160.61620","394299.12300","445404.62560","172103.02670","25422.96440","74518.59130","72161.47100"
"20260529","11305","강북구","255888.04810","248762.36400","6225.29870","900.38540","281997.84150","228786.31040","234989.12520","270815.85010","144781.58540","12387.91830","92479.75620","39913.91090"
"20260529","11320","도봉구","249343.72960","245984.39330","3032.84920","326.48710","273809.97970","222340.11360","228694.77790","264092.98080","103739.53460","18277.59430","50613.28940","34848.65090"
"20260529","11350","노원구","452392.74140","446812.36770","5082.13460","498.23910","486176.12070","417932.86090","424263.26080","472485.22760","181815.96630","36513.33690","92654.06510","52648.56430"
