"구분별(1)",구분별(2),2014. 01,2014. 02,2014. 03,2014. 04,2014. 05,2014. 06,2014. 07,2014. 08,2014. 09,2014. 10,2014. 11,2014. 12,2015. 01,2015. 02,2015. 03,2015. 04,2015. 05,2015. 06,2015. 07,2015. 08,2015. 09,2015. 10,2015. 11,2015. 12,2016. 01,2016. 02,2016. 03,2016. 04,2016. 05,2016. 06,2016. 07,2016. 08,2016. 09,2016. 10,2016. 11,2016. 12,2017. 01,2017. 02,2017. 03,2017. 04,2017. 05,2017. 06,2017. 07,2017. 08,2017. 09,2017. 10,2017. 11,2017. 12,2018. 01,2018. 02,2018. 03,2018. 04,2018. 05,2018. 06,2018. 07,2018. 08,2018. 09,2018. 10,2018. 11,2018. 12,2019. 01,2019. 02,2019. 03,2019. 04,2019. 05,2019. 06,2019. 07,2019. 08,2019. 09,2019. 10,2019. 11,2019. 12,2020. 01,2020. 02,2020. 03,2020. 04,2020. 05,2020. 06,2020. 07,2020. 08,2020. 09,2020. 10,2020. 11,2020. 12,2021. 01,2021. 02,2021. 03,2021. 04,2021. 05,2021. 06,2021. 07,2021. 08,2021. 09,2021. 10,2021. 11,2021. 12,2022. 01,2022. 02,2022. 03,2022. 04,2022. 05,2022. 06,2022. 07,2022. 08,2022. 09,2022. 10,2022. 11,2022. 12,2023. 01,2023. 02,2023. 03,2023. 04,2023. 05,2023. 06,2023. 07,2023. 08,2023. 09,2023. 10,2023. 11,2023. 12,2024. 01,2024. 02,2024. 03,2024. 04,2024. 05,2024. 06,2024. 07,2024. 08,2024. 09,2024. 10,2024. 11,2024. 12
"한국여행중 서울방문",소계,80.9,82.3,81.2,85.0,83.0,82.4,81.8,77.4,76.0,78.7,78.7,78.4,77.2,82.5,83.4,81.3,84.9,76.7,74.6,73.8,73.9,77.2,77.6,76.7,77.3,77.4,80.7,78.1,79.5,78.7,76.2,84.8,71.6,77.9,74.1,78.6,75.5,74.8,76.2,80.0,79.8,80.8,79.2,79.1,78.3,80.0,82.1,81.6,81.8,79.7,81.8,80.1,79.9,81.4,79.6,79.5,77.4,77.4,77.9,77.1,76.9,77.0,78.5,78.4,77.6,79.0,75.2,73.7,76.7,74.9,74.2,75.3,-,-,-,100.0,62.0,46.5,54.2,41.9,42.5,52.9,52.7,33.3,49.7,55.6,38.2,47.9,57.1,57.6,51.2,50.3,62.7,58.2,69.6,59.8,62.8,64.4,63.3,74.7,81.0,82.9,85.4,82.6,86.4,87.1,87.2,85.1,82.2,81.8,81.6,83.7,82.2,80.2,81.7,78.8,78.3,79.0,79.9,78.1,76.6,74.6,80.0,80.6,79.5,80.9,78.4,78.0,76.3,79.3,78.8,76.2
"서울 내 방문지",명동,80.0,77.8,76.7,78.1,76.0,80.5,77.7,76.7,79.3,76.0,74.1,79.3,77.4,81.6,78.1,79.4,78.4,76.9,69.5,75.2,78.6,72.7,74.8,78.0,77.5,80.6,76.5,81.0,80.8,78.2,84.8,87.7,80.4,78.9,79.2,84.5,81.2,83.7,79.7,77.2,75.7,79.1,74.8,77.1,76.1,75.4,76.9,82.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"서울 내 방문지",남대문시장,26.1,28.4,26.7,28.7,20.7,26.6,24.5,26.7,32.7,28.1,34.0,31.9,23.5,26.6,26.3,30.9,29.2,35.6,28.5,28.6,29.1,29.4,30.4,31.4,21.3,24.8,31.9,28.6,26.5,27.8,31.2,25.6,29.2,34.2,30.0,34.6,27.4,26.5,33.9,35.8,32.8,32.3,30.0,31.6,28.7,31.2,30.6,36.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"서울 내 방문지",명동/남대문/북창,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,84.4,90.3,89.2,87.2,88.9,90.3,87.7,89.5,87.5,86.6,88.0,87.8,86.5,88.7,89.8,90.1,85.0,88.8,88.3,88.5,89.1,87.0,88.4,87.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"서울 내 방문지",동대문 패션타운,55.6,59.6,62.1,65.5,56.7,61.4,66.7,59.3,65.7,62.2,60.9,65.3,55.7,58.6,62.3,63.5,65.0,60.3,57.2,51.3,60.2,58.5,61.4,63.6,59.5,58.0,60.3,61.7,58.7,61.3,63.2,64.6,64.5,64.3,62.2,68.0,62.3,56.0,60.4,55.9,54.3,60.7,55.9,54.6,52.1,54.3,53.7,62.1,60.2,59.1,66.3,60.5,62.3,61.0,62.9,63.1,59.3,57.2,58.6,60.4,52.3,61.8,66.2,63.9,54.6,55.8,54.9,54.8,59.5,54.3,59.5,61.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"서울 내 방문지",종로/청계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.6,36.2,36.8,37.9,40.4,37.6,38.7,37.9,39.2,38.2,39.6,37.4,35.9,35.0,36.3,44.1,39.5,40.6,38.7,40.0,40.2,43.1,43.5,36.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"서울 내 방문지",신촌/홍대주변,28.4,25.9,25.1,26.1,36.1,37.5,29.4,32.0,27.6,25.5,26.9,36.3,31.6,31.4,28.6,32.1,32.1,35.5,28.0,29.4,27.6,21.3,24.1,30.2,28.9,31.5,30.3,30.6,31.4,32.9,41.4,30.5,35.1,31.5,38.1,36.1,32.4,32.0,33.4,29.8,27.6,33.0,31.5,32.0,28.4,27.0,32.2,35.0,29.5,35.5,38.3,31.2,34.3,34.3,39.0,41.5,37.2,34.5,35.6,34.3,37.4,34.9,39.7,40.0,32.3,39.5,40.3,45.3,38.6,41.0,41.6,37.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"서울 내 방문지",강남역,24.1,26.1,20.5,17.7,19.5,24.6,24.0,21.3,21.9,23.5,24.5,29.2,22.1,22.4,20.3,16.9,22.2,34.7,27.1,24.0,24.3,22.0,25.8,24.9,24.4,27.6,24.6,22.3,25.6,29.2,30.0,26.7,28.6,28.1,29.0,29.2,23.0,22.9,27.5,28.1,29.7,30.6,31.4,32.3,30.7,26.8,28.6,29.4,29.6,24.3,26.3,27.1,26.6,26.3,32.0,27.7,29.0,27.2,28.9,28.4,26.6,26.5,26.3,28.2,26.7,28.2,30.6,28.9,24.7,31.0,29.2,30.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"서울 내 방문지",이태원,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20.7,17.5,24.8,24.8,21.5,24.9,24.8,22.2,19.4,22.7,20.2,26.4,21.9,22.1,25.4,20.9,23.4,23.8,25.4,23.8,26.9,24.4,24.1,23.0,24.3,22.6,22.6,22.6,23.5,23.1,26.6,21.7,21.5,19.5,19.0,17.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"서울 내 방문지",잠실(롯데월드),17.3,14.7,21.5,21.3,20.3,27.8,35.5,28.7,20.6,19.2,24.1,26.8,25.0,25.7,19.9,25.9,26.9,18.7,22.9,33.3,23.3,17.8,18.3,22.6,24.7,30.8,19.8,16.2,27.7,28.9,28.7,23.5,19.6,21.7,21.3,23.7,-,-,-,-,-,-,-,-,-,-,-,-,21.1,20.4,17.3,20.1,21.5,21.0,25.8,33.2,20.8,23.9,16.4,25.6,21.7,22.2,18.5,25.2,20.8,24.4,27.8,24.7,21.2,29.2,20.3,23.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
